Report Name: Log Report
Location IP,Collection Time,Location,Status,HTTP Status Code,DNS Response Time (ms),Connection Time (ms),SSL Handshake Time (ms),First Byte Time (ms),Download Time (ms),Response Time (ms),Content Length (B),Resolved IP,Reason
209.151.153.107,October 9 2024 9:05:14 PM EDT,New York - US,Up,200,10,4,14,409,5,442,152440,104.18.9.189,-
172.96.165.98,October 9 2024 9:00:12 PM EDT,New York - US,Up,200,18,2,13,365,6,404,152440,104.18.8.189,-
104.236.16.22,October 9 2024 8:55:11 PM EDT,New York - US,Up,200,15,2,16,287,4,324,152440,104.18.9.189,-
207.244.104.233,October 9 2024 8:55:11 PM EDT,Virginia - US,Up,200,71,1,20,177,4,273,152440,104.18.8.189,-
165.22.238.144,October 9 2024 8:55:11 PM EDT,Toronto - CA,Up,200,24,1,13,265,9,312,152440,104.18.9.189,-
64.235.50.24,October 9 2024 8:55:11 PM EDT,Las Vegas - US,Up,200,23,7,18,372,8,429,152440,104.18.8.189,-
104.236.16.22,October 9 2024 8:50:05 PM EDT,New York - US,Up,200,14,5,18,262,0,299,152440,104.18.9.189,-
209.151.153.107,October 9 2024 8:45:02 PM EDT,New York - US,Up,200,19,2,18,348,7,394,152440,104.18.9.189,-
45.58.47.160,October 9 2024 8:40:00 PM EDT,New York - US,Up,200,93,5,17,376,6,497,152440,104.18.9.189,-
104.236.114.81,October 9 2024 8:34:58 PM EDT,New York - US,Up,200,13,15,33,298,4,363,152440,104.18.8.189,-
169.197.141.229,October 9 2024 8:29:54 PM EDT,New York - US,Up,200,27,1,14,340,4,386,152440,104.18.8.189,-
66.165.233.146,October 9 2024 8:24:52 PM EDT,New York - US,Up,200,53,2,19,267,5,346,152440,104.18.9.189,-
23.105.39.121,October 9 2024 8:24:52 PM EDT,Virginia - US,Up,200,71,1,12,205,5,295,152440,104.18.9.189,-
162.223.228.142,October 9 2024 8:24:52 PM EDT,Toronto - CA,Up,200,14,11,20,208,11,264,152440,104.18.8.189,-
64.235.50.24,October 9 2024 8:24:52 PM EDT,Las Vegas - US,Up,200,25,7,21,330,7,390,152440,104.18.9.189,-
209.151.153.107,October 9 2024 8:19:49 PM EDT,New York - US,Up,200,18,2,13,251,6,290,152440,104.18.9.189,-
104.236.114.81,October 9 2024 8:14:42 PM EDT,New York - US,Up,200,14,6,22,287,1,330,152440,104.18.9.189,-
45.58.47.160,October 9 2024 8:09:40 PM EDT,New York - US,Up,200,95,4,23,137,5,264,152440,104.18.9.189,-
104.236.16.22,October 9 2024 8:04:39 PM EDT,New York - US,Up,200,20,4,13,270,8,315,152440,104.18.9.189,-
104.236.16.22,October 9 2024 7:59:37 PM EDT,New York - US,Up,200,21,2,12,224,4,263,152440,104.18.9.189,-
66.165.253.194,October 9 2024 7:54:19 PM EDT,New York - US,Up,200,23,2,18,408,5,456,152440,104.18.9.189,-
207.244.97.125,October 9 2024 7:54:19 PM EDT,Virginia - US,Up,200,68,166,97,199,1,532,152440,104.18.9.189,-
172.105.0.109,October 9 2024 7:54:19 PM EDT,Toronto - CA,Up,200,418,1,10,98,4,531,152440,104.18.8.189,-
64.235.50.24,October 9 2024 7:54:19 PM EDT,Las Vegas - US,Up,200,26,7,21,510,7,571,152440,104.18.9.189,-
172.96.165.98,October 9 2024 7:49:13 PM EDT,New York - US,Up,200,36,3,13,319,5,389,152440,104.18.9.189,-
45.58.47.160,October 9 2024 7:44:07 PM EDT,New York - US,Up,200,68,3,32,339,2,444,152440,104.18.8.189,-
172.96.165.98,October 9 2024 7:38:59 PM EDT,New York - US,Up,200,14,2,11,293,5,325,152440,104.18.9.189,-
66.165.233.146,October 9 2024 7:33:57 PM EDT,New York - US,Up,200,51,2,10,394,6,463,152440,104.18.9.189,-
209.151.153.107,October 9 2024 7:28:52 PM EDT,New York - US,Up,200,12,1,13,369,4,399,152440,104.18.9.189,-
66.165.251.146,October 9 2024 7:23:43 PM EDT,New York - US,Up,200,52,2,15,193,5,267,152440,104.18.8.189,-
174.129.225.90,October 9 2024 7:23:43 PM EDT,Virginia - US,Up,200,13,2,12,219,5,251,152440,104.18.8.189,-
162.223.228.142,October 9 2024 7:23:43 PM EDT,Toronto - CA,Up,200,15,11,18,204,11,260,152440,104.18.9.189,-
45.10.22.81,October 9 2024 7:23:43 PM EDT,Las Vegas - US,Up,200,14,8,19,338,9,388,152440,104.18.8.189,-
172.96.165.98,October 9 2024 7:18:32 PM EDT,New York - US,Up,200,13,2,17,194,4,230,152440,104.18.8.189,-
66.165.253.194,October 9 2024 7:13:25 PM EDT,New York - US,Up,200,25,2,15,306,5,353,152440,104.18.9.189,-
45.58.47.160,October 9 2024 7:08:17 PM EDT,New York - US,Up,200,52,4,19,361,2,438,152440,104.18.9.189,-
169.197.141.229,October 9 2024 7:03:12 PM EDT,New York - US,Up,200,22,1,13,181,6,223,152440,104.18.9.189,-
66.165.251.146,October 9 2024 6:58:08 PM EDT,New York - US,Up,200,94,2,12,365,6,479,152440,104.18.9.189,-
104.236.114.81,October 9 2024 6:52:59 PM EDT,New York - US,Up,200,29,3,23,262,1,318,152440,104.18.8.189,-
174.129.225.90,October 9 2024 6:52:59 PM EDT,Virginia - US,Up,200,38,2,14,270,5,330,152440,104.18.8.189,-
165.22.238.144,October 9 2024 6:52:59 PM EDT,Toronto - CA,Up,200,65,2,12,213,3,295,152440,104.18.8.189,-
64.235.50.24,October 9 2024 6:52:59 PM EDT,Las Vegas - US,Up,200,21,8,16,438,7,490,152440,104.18.9.189,-
66.165.253.194,October 9 2024 6:47:56 PM EDT,New York - US,Up,200,44,1,23,268,4,341,152440,104.18.8.189,-
66.165.253.194,October 9 2024 6:42:53 PM EDT,New York - US,Up,200,45,2,11,307,6,371,152440,104.18.8.189,-
209.151.153.107,October 9 2024 6:37:41 PM EDT,New York - US,Up,200,16,2,11,324,5,358,152440,104.18.9.189,-
104.236.114.81,October 9 2024 6:32:37 PM EDT,New York - US,Up,200,29,1,14,336,5,385,152440,104.18.8.189,-
104.236.114.81,October 9 2024 6:27:27 PM EDT,New York - US,Up,200,29,5,17,288,4,344,152440,104.18.9.189,-
104.236.114.81,October 9 2024 6:22:14 PM EDT,New York - US,Up,200,14,2,17,138,7,179,152440,104.18.9.189,-
207.244.103.237,October 9 2024 6:22:14 PM EDT,Virginia - US,Up,200,13,1,10,283,4,312,152440,104.18.8.189,-
165.22.238.144,October 9 2024 6:22:14 PM EDT,Toronto - CA,Up,200,31,1,12,170,5,220,152440,104.18.9.189,-
64.235.50.24,October 9 2024 6:22:14 PM EDT,Las Vegas - US,Up,200,26,12,21,382,8,449,152440,104.18.9.189,-
172.96.165.98,October 9 2024 6:17:10 PM EDT,New York - US,Up,200,24,2,18,374,5,423,152440,104.18.8.189,-
66.165.233.146,October 9 2024 6:12:03 PM EDT,New York - US,Up,200,82,3,14,343,5,447,152440,104.18.8.189,-
66.165.251.146,October 9 2024 6:06:55 PM EDT,New York - US,Up,200,52,1,14,148,4,219,152440,104.18.8.189,-
66.165.251.146,October 9 2024 6:01:47 PM EDT,New York - US,Up,200,54,3,26,203,5,291,152440,104.18.9.189,-
209.151.153.107,October 9 2024 5:56:36 PM EDT,New York - US,Up,200,16,4,11,324,5,361,152440,104.18.9.189,-
209.151.153.107,October 9 2024 5:51:30 PM EDT,New York - US,Up,200,10,2,10,332,4,358,152440,104.18.8.189,-
108.62.123.84,October 9 2024 5:51:30 PM EDT,Virginia - US,Up,200,5,1,17,332,9,364,152440,104.18.9.189,-
172.105.0.109,October 9 2024 5:51:30 PM EDT,Toronto - CA,Up,200,237,1,9,118,4,369,152440,104.18.8.189,-
64.235.50.24,October 9 2024 5:51:30 PM EDT,Las Vegas - US,Up,200,11,8,18,515,8,560,152440,104.18.8.189,-
104.236.114.81,October 9 2024 5:46:28 PM EDT,New York - US,Up,200,30,5,23,316,6,381,152440,104.18.9.189,-
172.96.165.98,October 9 2024 5:41:18 PM EDT,New York - US,Up,200,13,2,10,222,4,251,152440,104.18.8.189,-
209.151.153.107,October 9 2024 5:36:12 PM EDT,New York - US,Up,200,11,2,10,274,5,302,152440,104.18.9.189,-
169.197.141.229,October 9 2024 5:31:09 PM EDT,New York - US,Up,200,25,5,16,115,6,167,152440,104.18.8.189,-
104.236.114.81,October 9 2024 5:26:07 PM EDT,New York - US,Up,200,18,3,28,157,4,210,152440,104.18.8.189,-
66.165.233.146,October 9 2024 5:21:03 PM EDT,New York - US,Up,200,85,2,11,280,6,384,152440,104.18.8.189,-
23.105.39.121,October 9 2024 5:21:03 PM EDT,Virginia - US,Up,200,6,2,19,361,17,405,152440,104.18.9.189,-
162.223.228.142,October 9 2024 5:21:03 PM EDT,Toronto - CA,Up,200,19,11,20,295,10,355,152440,104.18.8.189,-
64.235.50.24,October 9 2024 5:21:03 PM EDT,Las Vegas - US,Up,200,26,7,17,448,7,505,152440,104.18.8.189,-
66.165.251.146,October 9 2024 5:16:01 PM EDT,New York - US,Up,200,51,2,15,424,4,496,152440,104.18.9.189,-
66.165.253.194,October 9 2024 5:10:58 PM EDT,New York - US,Up,200,42,2,12,325,5,387,152440,104.18.8.189,-
66.165.233.146,October 9 2024 5:05:53 PM EDT,New York - US,Up,200,54,2,12,368,19,455,152440,104.18.8.189,-
104.236.16.22,October 9 2024 5:00:50 PM EDT,New York - US,Up,200,14,1,18,194,5,232,152440,104.18.9.189,-
172.96.165.98,October 9 2024 4:55:44 PM EDT,New York - US,Up,200,16,3,14,126,6,165,152440,104.18.9.189,-
104.236.114.81,October 9 2024 4:50:36 PM EDT,New York - US,Up,200,28,3,24,355,1,411,152440,104.18.8.189,-
174.129.225.90,October 9 2024 4:50:36 PM EDT,Virginia - US,Up,200,121,1,9,221,5,357,152440,104.18.8.189,-
172.105.0.109,October 9 2024 4:50:36 PM EDT,Toronto - CA,Up,200,111,1,9,202,5,328,152440,104.18.9.189,-
45.10.22.81,October 9 2024 4:50:36 PM EDT,Las Vegas - US,Up,200,13,8,19,406,9,455,152440,104.18.9.189,-
172.96.165.98,October 9 2024 4:45:33 PM EDT,New York - US,Up,200,15,2,13,388,6,424,152440,104.18.8.189,-
66.165.253.194,October 9 2024 4:40:29 PM EDT,New York - US,Up,200,38,3,20,259,5,325,152440,104.18.8.189,-
45.58.47.160,October 9 2024 4:35:27 PM EDT,New York - US,Up,200,94,7,19,333,5,458,152440,104.18.9.189,-
104.236.16.22,October 9 2024 4:30:25 PM EDT,New York - US,Up,200,17,8,22,263,1,311,152440,104.18.8.189,-
209.151.153.107,October 9 2024 4:25:21 PM EDT,New York - US,Up,200,18,2,10,316,5,351,152440,104.18.8.189,-
172.96.165.98,October 9 2024 4:20:19 PM EDT,New York - US,Up,200,13,2,15,182,6,218,152440,104.18.9.189,-
207.244.103.237,October 9 2024 4:20:19 PM EDT,Virginia - US,Up,200,14,1,14,276,5,311,152440,104.18.8.189,-
159.203.37.151,October 9 2024 4:20:19 PM EDT,Toronto - CA,Up,200,16,1,14,292,10,334,152440,104.18.9.189,-
45.10.22.81,October 9 2024 4:20:19 PM EDT,Las Vegas - US,Up,200,13,8,18,445,9,493,152440,104.18.9.189,-
172.96.165.98,October 9 2024 4:15:15 PM EDT,New York - US,Up,200,17,2,13,278,5,315,152440,104.18.9.189,-
104.236.16.22,October 9 2024 4:10:13 PM EDT,New York - US,Up,200,15,4,12,302,7,340,152440,104.18.9.189,-
209.151.153.107,October 9 2024 4:05:11 PM EDT,New York - US,Up,200,21,1,10,348,4,384,152440,104.18.9.189,-
66.165.233.146,October 9 2024 4:00:07 PM EDT,New York - US,Up,200,51,2,21,304,6,384,152440,104.18.9.189,-
104.236.16.22,October 9 2024 3:55:05 PM EDT,New York - US,Up,200,70,2,21,169,3,265,152440,104.18.8.189,-
172.96.165.98,October 9 2024 3:50:03 PM EDT,New York - US,Up,200,16,2,14,202,9,243,152440,104.18.9.189,-
207.244.97.125,October 9 2024 3:50:03 PM EDT,Virginia - US,Up,200,14,2,13,177,4,210,152440,104.18.9.189,-
159.203.37.151,October 9 2024 3:50:03 PM EDT,Toronto - CA,Up,200,21,1,15,335,7,380,152440,104.18.9.189,-
64.235.50.24,October 9 2024 3:50:03 PM EDT,Las Vegas - US,Up,200,12,8,20,426,8,474,152440,104.18.8.189,-
198.211.100.169,October 9 2024 3:44:59 PM EDT,New York - US,Up,200,25,1,12,307,6,352,152440,104.18.8.189,-
66.165.253.194,October 9 2024 3:39:56 PM EDT,New York - US,Up,200,48,2,23,385,6,464,152440,104.18.8.189,-
209.151.153.107,October 9 2024 3:34:55 PM EDT,New York - US,Up,200,17,1,12,279,10,319,152440,104.18.9.189,-
169.197.141.229,October 9 2024 3:29:54 PM EDT,New York - US,Up,200,15,1,13,269,4,302,152440,104.18.8.189,-
172.96.165.98,October 9 2024 3:24:50 PM EDT,New York - US,Up,200,13,2,12,299,6,332,152440,104.18.9.189,-
45.58.47.160,October 9 2024 3:19:49 PM EDT,New York - US,Up,200,95,4,20,172,10,301,152440,104.18.8.189,-
174.129.225.90,October 9 2024 3:19:49 PM EDT,Virginia - US,Up,200,17,2,14,390,5,428,152440,104.18.8.189,-
162.223.228.142,October 9 2024 3:19:49 PM EDT,Toronto - CA,Up,200,24,12,20,122,12,190,152440,104.18.9.189,-
45.10.22.81,October 9 2024 3:19:49 PM EDT,Las Vegas - US,Up,200,14,9,19,454,8,504,152440,104.18.9.189,-
104.236.16.22,October 9 2024 3:14:48 PM EDT,New York - US,Up,200,20,4,11,251,9,295,152440,104.18.9.189,-
66.165.253.194,October 9 2024 3:09:46 PM EDT,New York - US,Up,200,44,2,21,157,4,229,152440,104.18.8.189,-
66.165.233.146,October 9 2024 3:04:42 PM EDT,New York - US,Up,200,92,2,27,377,4,502,152440,104.18.8.189,-
66.165.233.146,October 9 2024 2:59:38 PM EDT,New York - US,Up,200,50,2,12,364,6,434,152440,104.18.8.189,-
104.236.16.22,October 9 2024 2:54:36 PM EDT,New York - US,Up,200,18,1,22,231,5,277,152440,104.18.9.189,-
172.96.165.98,October 9 2024 2:49:34 PM EDT,New York - US,Up,200,16,3,15,363,5,402,152440,104.18.8.189,-
108.62.123.84,October 9 2024 2:49:34 PM EDT,Virginia - US,Up,200,8,2,19,235,5,269,152440,104.18.8.189,-
162.223.228.142,October 9 2024 2:49:34 PM EDT,Toronto - CA,Up,200,18,11,18,172,11,230,152440,104.18.9.189,-
64.235.50.24,October 9 2024 2:49:34 PM EDT,Las Vegas - US,Up,200,23,7,17,383,7,437,152440,104.18.8.189,-
