Report Name: Log Report
Location IP,Collection Time,Location,Status,HTTP Status Code,DNS Response Time (ms),Connection Time (ms),SSL Handshake Time (ms),First Byte Time (ms),Download Time (ms),Response Time (ms),Content Length (B),Resolved IP,Reason
174.129.225.90,October 10 2024 8:49:29 AM EDT,Virginia - US,Up,200,34,2,10,302,15,363,640970,104.18.16.112,-
172.105.0.109,October 10 2024 8:49:29 AM EDT,Toronto - CA,Up,200,305,1,8,137,17,468,640970,104.18.17.112,-
64.235.50.24,October 10 2024 8:49:29 AM EDT,Las Vegas - US,Up,200,25,7,16,148,15,211,640970,104.18.17.112,-
66.165.251.146,October 10 2024 8:44:22 AM EDT,New York - US,Up,200,78,2,14,321,14,429,641182,104.18.17.112,-
209.151.153.107,October 10 2024 8:39:17 AM EDT,New York - US,Up,200,7,3,11,158,16,195,641182,104.18.17.112,-
45.58.47.160,October 10 2024 8:34:15 AM EDT,New York - US,Up,200,91,2,49,177,26,345,641182,104.18.17.112,-
169.197.141.229,October 10 2024 8:29:10 AM EDT,New York - US,Up,200,16,1,9,191,15,232,641182,104.18.16.112,-
104.236.114.81,October 10 2024 8:24:07 AM EDT,New York - US,Up,200,43,6,12,160,30,251,641182,104.18.17.112,-
104.236.114.81,October 10 2024 8:19:03 AM EDT,New York - US,Up,200,24,1,13,320,18,376,641182,104.18.16.112,-
207.244.104.199,October 10 2024 8:19:03 AM EDT,Virginia - US,Up,200,5,2,19,102,17,145,641182,104.18.16.112,-
162.223.228.142,October 10 2024 8:19:03 AM EDT,Toronto - CA,Up,200,28,12,19,147,21,227,641182,104.18.17.112,-
45.10.22.81,October 10 2024 8:19:03 AM EDT,Las Vegas - US,Up,200,14,9,20,303,14,360,641182,104.18.17.112,-
66.165.253.194,October 10 2024 8:13:57 AM EDT,New York - US,Up,200,22,2,20,228,15,287,641182,104.18.16.112,-
198.211.100.169,October 10 2024 8:08:52 AM EDT,New York - US,Up,200,21,3,11,336,15,386,641182,104.18.16.112,-
66.165.233.146,October 10 2024 8:03:42 AM EDT,New York - US,Up,200,61,2,11,161,16,251,641182,104.18.17.112,-
209.151.153.107,October 10 2024 7:58:36 AM EDT,New York - US,Up,200,8,2,9,158,16,193,641182,104.18.17.112,-
66.165.253.194,October 10 2024 7:53:34 AM EDT,New York - US,Up,200,22,2,9,214,14,261,641182,104.18.17.112,-
209.151.153.107,October 10 2024 7:48:30 AM EDT,New York - US,Up,200,10,3,11,157,21,202,641182,104.18.17.112,-
108.62.123.84,October 10 2024 7:48:30 AM EDT,Virginia - US,Up,200,6,1,12,240,14,273,641182,104.18.16.112,-
162.223.228.142,October 10 2024 7:48:30 AM EDT,Toronto - CA,Up,200,48,12,17,136,14,227,641182,104.18.17.112,-
45.10.22.81,October 10 2024 7:48:30 AM EDT,Las Vegas - US,Up,200,14,9,16,377,15,431,641182,104.18.16.112,-
66.165.233.146,October 10 2024 7:43:29 AM EDT,New York - US,Up,200,61,2,12,180,13,268,638207,104.18.17.112,-
169.197.141.229,October 10 2024 7:38:27 AM EDT,New York - US,Up,200,24,1,14,199,20,258,638207,104.18.17.112,-
198.211.100.169,October 10 2024 7:33:23 AM EDT,New York - US,Up,200,21,3,15,155,9,203,638207,104.18.16.112,-
66.165.251.146,October 10 2024 7:28:19 AM EDT,New York - US,Up,200,39,2,8,302,10,362,638207,104.18.17.112,-
66.165.233.146,October 10 2024 7:23:17 AM EDT,New York - US,Up,200,64,2,18,181,22,287,638207,104.18.16.112,-
169.197.141.229,October 10 2024 7:17:04 AM EDT,New York - US,Up,200,33,2,9,170,17,231,638207,104.18.16.112,-
75.101.151.107,October 10 2024 7:17:04 AM EDT,Virginia - US,Up,200,11,3,14,170,24,222,638207,104.18.16.112,-
159.203.37.151,October 10 2024 7:17:04 AM EDT,Toronto - CA,Up,200,47,2,13,312,14,388,638207,104.18.16.112,-
64.235.50.24,October 10 2024 7:17:04 AM EDT,Las Vegas - US,Up,200,25,9,16,442,11,503,638207,104.18.16.112,-
66.165.233.146,October 10 2024 7:12:02 AM EDT,New York - US,Up,200,71,2,13,350,13,449,638207,104.18.17.112,-
45.58.47.160,October 10 2024 7:06:59 AM EDT,New York - US,Up,200,84,10,24,255,16,389,638207,104.18.17.112,-
172.96.165.98,October 10 2024 7:01:57 AM EDT,New York - US,Up,200,13,2,11,174,16,217,638207,104.18.17.112,-
66.165.253.194,October 10 2024 6:56:56 AM EDT,New York - US,Up,200,42,2,9,160,13,226,638207,104.18.16.112,-
209.151.153.107,October 10 2024 6:51:55 AM EDT,New York - US,Up,200,10,2,10,148,14,184,638207,104.18.16.112,-
45.58.47.160,October 10 2024 6:46:52 AM EDT,New York - US,Up,200,93,3,23,1979,14,2112,638207,104.18.16.112,-
207.244.97.125,October 10 2024 6:46:52 AM EDT,Virginia - US,Up,200,5,1,13,2047,16,2082,638207,104.18.16.112,-
134.195.196.243,October 10 2024 6:46:52 AM EDT,Toronto - CA,Up,200,65,1,8,2073,14,2161,638207,104.18.17.112,-
45.10.22.81,October 10 2024 6:46:52 AM EDT,Las Vegas - US,Up,200,15,9,21,2169,13,2227,638207,104.18.16.112,-
104.236.16.22,October 10 2024 6:41:48 AM EDT,New York - US,Up,200,48,1,12,282,13,357,638209,104.18.16.112,-
198.211.100.169,October 10 2024 6:36:40 AM EDT,New York - US,Up,200,26,1,12,296,15,351,638209,104.18.16.112,-
198.211.100.169,October 10 2024 6:31:39 AM EDT,New York - US,Up,200,27,4,13,137,10,191,638209,104.18.16.112,-
198.211.100.169,October 10 2024 6:26:35 AM EDT,New York - US,Up,200,34,1,15,258,15,323,638209,104.18.16.112,-
66.165.251.146,October 10 2024 6:21:32 AM EDT,New York - US,Up,200,25,2,13,179,14,233,638209,104.18.17.112,-
